Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260824,MLS-TGLS-FG-000A3TFUI7881B8-GTE-P00025,08/23/26 12:00 AM EDT,$0.43,50
20260824,MLS-TGLS-FG-000A3TFUI7881B8-GTE-P00025,08/23/26 12:00 AM EDT,$0.42,58
20260824,MLS-TGLS-FG-000A3TFUI7881B8-GTE-P00025,08/23/26 12:00 AM EDT,$0.42,100
20260824,LIGAMX-TGLS-FG-03I7Q73QEMAGTAG-GTE-P00035,08/23/26 12:00 AM EDT,$0.53,2
20260824,NPB-WIN-FG-01O61UFDVU4F0Q8-ORES000,08/23/26 12:00 AM EDT,$0.38,22
20260824,MLS-TGLS-FG-000A3TFUI7881B8-GTE-P00025,08/23/26 12:00 AM EDT,$0.42,388
20260824,MLS-TGLS-FG-000A3TFUI7881B8-GTE-P00025,08/23/26 12:00 AM EDT,$0.41,145
20260824,NPB-WIN-FG-01O61UFQVU4F070-TOWS000,08/23/26 12:00 AM EDT,$0.41,46
20260824,NPB-WIN-FG-01O61UFDVU4F0Q8-FUKS000,08/23/26 12:00 AM EDT,$0.67,52
20260824,KBO-WIN-FG-01O9A74QVVPDI40-DORS000,08/23/26 12:01 AM EDT,$0.64,15
20260824,MLS-BTMSC-FG-000A3TFUI7881B8-BINARY,08/23/26 12:01 AM EDT,$0.58,302
20260824,MLS-TGLS-FG-000A3TFUI7881B8-GTE-P00045,08/23/26 12:01 AM EDT,$0.03,600
20260824,MLS-TGLS-FG-000A3TFUI7881B8-GTE-P00045,08/23/26 12:02 AM EDT,$0.03,600
20260824,MLS-BTMSC-FG-000A3TFUI7881B8-BINARY,08/23/26 12:02 AM EDT,$0.57,6
20260824,LIGAMX-TGLS-FG-03I7Q73QEMAGTAG-GTE-P00035,08/23/26 12:02 AM EDT,$0.52,14
20260824,LIGAMX-BTMSC-FG-03I7Q73QEMAGTAG-BINARY,08/23/26 12:02 AM EDT,$0.70,9
20260824,KBO-TRUNS-FG-01O9AEP2VVPCO5O-GTE-P00105,08/23/26 12:02 AM EDT,$0.38,78
