Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260810,MLB-TRUNS-I1-00U4NV84F77L118-GTE-P00005,08/10/26 12:00 AM EDT,$0.39,79
20260810,MLB-PHRR-FG-00U4MUEOF77VPNO-VLJR000-GTE-P00025,08/10/26 12:01 AM EDT,$0.35,27
20260810,MLB-TRUNS-I1-00U4NVFNF77L0T8-GTE-P00005,08/10/26 12:02 AM EDT,$0.51,9
20260810,MLB-TRUNS-I1-00U4NVFNF77L0T8-GTE-P00005,08/10/26 12:05 AM EDT,$0.51,9
20260810,MLB-PHRR-FG-00U4MUEOF77VPNO-GEER000-GTE-P00045,08/10/26 12:10 AM EDT,$0.15,125
20260810,MLB-TRUNS-I1-00U4MUEOF77VPNO-GTE-P00015,08/10/26 12:11 AM EDT,$0.32,14
20260810,MLB-TRUNS-I1-00U4NVA2F77L0J8-GTE-P00015,08/10/26 12:12 AM EDT,$0.32,17
20260810,NASCAR-WIN-RCE-02D841PP1B75ERMKJ7DC8O1DJ49AKT5RU34R75QAO5SQF8ND6LKKKVBUVB00-TYBS002,08/10/26 12:12 AM EDT,$0.95,210
20260810,MLB-PHRR-FG-00U4NVDLF77L0E8-JAHY000-GTE-P00015,08/10/26 12:14 AM EDT,$0.57,8
20260810,MLB-PHRR-FG-00U4NVDLF77L0E8-HUAN001-GTE-P00015,08/10/26 12:14 AM EDT,$0.53,9
20260810,MLB-TRUNS-I1-00U4MUEOF77VPNO-GTE-P00015,08/10/26 12:17 AM EDT,$0.24,64
20260810,MLB-TRUNS-I1-00U4MUEOF77VPNO-GTE-P00015,08/10/26 12:18 AM EDT,$0.32,64
20260810,MLB-TRUNS-I1-00U4MUEOF77VPNO-GTE-P00015,08/10/26 12:21 AM EDT,$0.32,10
20260810,MLB-TRUNS-I1-00U4NV93F77L0B8-GTE-P00005,08/10/26 12:21 AM EDT,$0.43,8
20260810,MLB-TRUNS-I1-00U4NVCIF77L0GO-GTE-P00005,08/10/26 12:21 AM EDT,$0.47,9
20260810,MLB-TRUNS-I1-00U4NV84F77L118-GTE-P00005,08/10/26 12:21 AM EDT,$0.39,7
20260810,MLB-TRUNS-I1-00U4NVDLF77L0E8-GTE-P00005,08/10/26 12:22 AM EDT,$0.46,8
20260810,MLB-TRUNS-I1-00U4NV8CF77L14O-GTE-P00005,08/10/26 12:22 AM EDT,$0.43,8
20260810,MLB-TRUNS-I1-00U4NVCGF77L0AO-GTE-P00005,08/10/26 12:22 AM EDT,$0.51,9
20260810,MLB-TRUNS-I1-00U4NVBJF77L0L8-GTE-P00005,08/10/26 12:22 AM EDT,$0.45,8
20260810,MLB-TRUNS-I1-00U4NVA2F77L0J8-GTE-P00005,08/10/26 12:22 AM EDT,$0.46,8
20260810,MLB-TRUNS-I1-00U4MUEOF77VPNO-GTE-P00005,08/10/26 12:22 AM EDT,$0.44,8
20260810,MLB-PHRR-FG-00U4NV93F77L0B8-FRAN000-GTE-P00075,08/10/26 12:23 AM EDT,$0.06,142
20260810,MLB-PHRR-FG-00U4NV93F77L0B8-ENEZ002-GTE-P00055,08/10/26 12:25 AM EDT,$0.08,111
20260810,MLB-TRUNS-I1-00U4NV84F77L118-GTE-P00005,08/10/26 12:30 AM EDT,$0.39,81
20260810,MLB-TRUNS-I1-00U4MUEOF77VPNO-GTE-P00005,08/10/26 12:30 AM EDT,$0.44,185
20260810,MLB-TRUNS-I1-00U4NVBJF77L0L8-GTE-P00005,08/10/26 12:39 AM EDT,$0.45,54
20260810,MLB-TRUNS-I1-00U4NV84F77L118-GTE-P00005,08/10/26 12:42 AM EDT,$0.39,106
20260810,MLB-PHRR-FG-00U4MUEOF77VPNO-ANIO000-GTE-P00015,08/10/26 12:42 AM EDT,$0.51,1
20260810,MLB-PHRR-FG-00U4NVFNF77L0T8-JODA002-GTE-P00035,08/10/26 12:43 AM EDT,$0.30,20
