Business Date,Symbol,Status,Open Interest,Trade Volume,High Price (USD),Low Price (USD),Settlement/Last Trade Price (USD),Maturity Date and Time (ET)
20260820,BSA-BTMSC-FG-01O3841KVVTH05G-BINARY,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-BTMSC-FG-01O3844MVVTH07G-BINARY,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-BTMSC-FG-01O3847OVVTH1K8-BINARY,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-BTMSC-FG-03VTJNI94O0H4G8-BINARY,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-BTMSC-FG-03VTJNIR4O0H5LG-BINARY,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-BTMSC-FG-03VTJNK74O0H4PG-BINARY,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-BTMSC-FG-03VTJNKG4O0H5G8-BINARY,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-BTMSC-FG-03VTJNLL4O0H5LO-BINARY,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-BTMSC-FG-03VTJNM14O0H5SO-BINARY,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-FLSE002-GTE-P00005,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-FLSE002-GTE-P00015,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-FLSE002-GTE-P00025,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-FLSE002-GTE-P00035,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-FLSE002-GTE-P00045,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-REEM001-GTE-P00005,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-REEM001-GTE-P00015,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-REEM001-GTE-P00025,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-REEM001-GTE-P00035,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3841KVVTH05G-REEM001-GTE-P00045,Open,0,0,,,,09/21/26 03:00 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-ATRO002-GTE-P00005,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-ATRO002-GTE-P00015,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-ATRO002-GTE-P00025,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-ATRO002-GTE-P00035,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-ATRO002-GTE-P00045,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-INRS005-GTE-P00005,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-INRS005-GTE-P00015,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-INRS005-GTE-P00025,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-INRS005-GTE-P00035,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3844MVVTH07G-INRS005-GTE-P00045,Open,0,0,,,,09/21/26 05:30 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-ATSE005-GTE-P00005,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-ATSE005-GTE-P00015,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-ATSE005-GTE-P00025,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-ATSE005-GTE-P00035,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-ATSE005-GTE-P00045,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-BORJ002-GTE-P00005,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-BORJ002-GTE-P00015,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-BORJ002-GTE-P00025,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-BORJ002-GTE-P00035,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-01O3847OVVTH1K8-BORJ002-GTE-P00045,Open,0,0,,,,09/23/26 07:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-BAIA006-GTE-P00005,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-BAIA006-GTE-P00015,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-BAIA006-GTE-P00025,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-BAIA006-GTE-P00035,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-BAIA006-GTE-P00045,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-VIOR009-GTE-P00005,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-VIOR009-GTE-P00015,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-VIOR009-GTE-P00025,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-VIOR009-GTE-P00035,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNI94O0H4G8-VIOR009-GTE-P00045,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-GRRE002-GTE-P00005,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-GRRE002-GTE-P00015,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-GRRE002-GTE-P00025,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-GRRE002-GTE-P00035,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-GRRE002-GTE-P00045,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-RBNO001-GTE-P00005,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-RBNO001-GTE-P00015,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-RBNO001-GTE-P00025,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-RBNO001-GTE-P00035,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNIR4O0H5LG-RBNO001-GTE-P00045,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-PAAS019-GTE-P00005,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-PAAS019-GTE-P00015,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-PAAS019-GTE-P00025,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-PAAS019-GTE-P00035,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-PAAS019-GTE-P00045,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-VAMA001-GTE-P00005,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-VAMA001-GTE-P00015,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-VAMA001-GTE-P00025,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-VAMA001-GTE-P00035,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNK74O0H4PG-VAMA001-GTE-P00045,Open,0,0,,,,09/22/26 03:00 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-COBA006-GTE-P00005,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-COBA006-GTE-P00015,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-COBA006-GTE-P00025,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-COBA006-GTE-P00035,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-COBA006-GTE-P00045,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-CONS012-GTE-P00005,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-CONS012-GTE-P00015,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-CONS012-GTE-P00025,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-CONS012-GTE-P00035,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNKG4O0H5G8-CONS012-GTE-P00045,Open,0,0,,,,09/22/26 06:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-MIOL002-GTE-P00005,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-MIOL002-GTE-P00015,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-MIOL002-GTE-P00025,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-MIOL002-GTE-P00035,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-MIOL002-GTE-P00045,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-SAOS012-GTE-P00005,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-SAOS012-GTE-P00015,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-SAOS012-GTE-P00025,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-SAOS012-GTE-P00035,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNLL4O0H5LO-SAOS012-GTE-P00045,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNM14O0H5SO-CHSE007-GTE-P00005,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNM14O0H5SO-CHSE007-GTE-P00015,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNM14O0H5SO-CHSE007-GTE-P00025,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNM14O0H5SO-CHSE007-GTE-P00035,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNM14O0H5SO-CHSE007-GTE-P00045,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNM14O0H5SO-SALO021-GTE-P00005,Open,0,0,,,,09/22/26 05:30 PM EDT
20260820,BSA-MOVY-FG-03VTJNM14O0H5SO-SALO021-GTE-P00015,Open,0,0,,,,09/22/26 05:30 PM EDT
