Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260709,NPB-WIN-FG-00CC9QODKU9L6K0-HARS001,07/09/26 12:02 AM EDT,$0.57,338
20260709,KBO-WIN-FG-00CC9QODKU9L6Q8-NCOS000,07/09/26 12:06 AM EDT,$0.53,12
20260709,KBO-MOVY-FG-00CC9QOUKU9L6H8-KIRS000-GTE-P00015,07/09/26 12:10 AM EDT,$0.43,20
20260709,KBO-WIN-FG-00CC9QP3KU9L7I8-LGNS000,07/09/26 12:14 AM EDT,$0.56,12
20260709,KBO-WIN-FG-00CC9QP3KU9L7I8-LGNS000,07/09/26 12:15 AM EDT,$0.56,12
20260709,KBO-WIN-FG-00CC9QODKU9L6Q8-NCOS000,07/09/26 12:16 AM EDT,$0.53,12
20260709,NPB-WIN-FG-00CC9QTIKU9L7K0-TOWS000,07/09/26 12:22 AM EDT,$0.40,4
20260709,KBO-WIN-FG-00CC9QOUKU9L6H8-LOTS001,07/09/26 12:23 AM EDT,$0.48,4
20260709,KBO-WIN-FG-00CC9QODKU9L6Q8-HAES000,07/09/26 12:24 AM EDT,$0.49,3
20260709,KBO-WIN-FG-00CC9QPTKU9L6RO-SSRS000,07/09/26 12:25 AM EDT,$0.41,6
20260709,KBO-MOVY-FG-00CC9QPTKU9L6RO-DORS000-GTE-P00015,07/09/26 12:32 AM EDT,$0.42,113
20260709,KBO-MOVY-FG-00CC9QPTKU9L6RO-DORS000-GTE-P00025,07/09/26 12:32 AM EDT,$0.29,161
20260709,NPB-WIN-FG-00CC9QTIKU9L7K0-HIRP000,07/09/26 12:35 AM EDT,$0.60,80
20260709,KBO-WIN-FG-00CC9QP3KU9L7I8-LGNS000,07/09/26 12:36 AM EDT,$0.56,51
20260709,KBO-WIN-FG-00CC9QPTKU9L6RO-DORS000,07/09/26 12:38 AM EDT,$0.61,68
20260709,NPB-WIN-FG-00CC9QODKU9L6K0-HARS001,07/09/26 12:41 AM EDT,$0.57,182
20260709,KBO-MOVY-FG-00CC9QOUKU9L6H8-KIRS000-GTE-P00015,07/09/26 12:42 AM EDT,$0.40,9
