Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-DRMO000-GTE-P00005,08/24/26 12:00 AM EDT,$0.54,8
20260824,MLS-MOVY-FG-014ADTLULBGB5T8-VAPS004-GTE-P00005,08/24/26 12:05 AM EDT,$0.68,7
20260824,MLB-TRUNS-I1-00UCIRJRF48MK88-GTE-P00005,08/24/26 12:05 AM EDT,$0.51,11
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-EZAN000-GTE-P00015,08/24/26 12:07 AM EDT,$0.46,4
20260824,LIGAMX-MOVY-FG-0145BJ3UL8S492G-CLCA001-GTE-P00035,08/24/26 12:08 AM EDT,$0.15,31
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 12:10 AM EDT,$0.50,7
20260824,LIGAMX-TGLS-FG-0145BJ3UL8S492G-GTE-P00025,08/24/26 12:10 AM EDT,$0.59,11
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 12:10 AM EDT,$0.42,7
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-BRER000-GTE-P00015,08/24/26 12:11 AM EDT,$0.46,20
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 12:12 AM EDT,$0.39,136
20260824,LIGAMX-MOVY-FG-0145BJ2UL8S4858-GUAS006-GTE-P00025,08/24/26 12:12 AM EDT,$0.10,45
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 12:13 AM EDT,$0.41,49
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 12:13 AM EDT,$0.39,47
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-BYON000-GTE-P00005,08/24/26 12:14 AM EDT,$0.85,1
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 12:19 AM EDT,$0.39,31
20260824,LIGAMX-BTMSC-FG-0145BJ2UL8S4858-BINARY,08/24/26 12:20 AM EDT,$0.58,3
20260824,LIGAMX-TGLS-FG-0145BJ3UL8S492G-GTE-P00025,08/24/26 12:22 AM EDT,$0.61,15
20260824,MLB-TRUNS-I1-00UCIRJRF48MK88-GTE-P00035,08/24/26 12:26 AM EDT,$0.02,5
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-COGG000-GTE-P00015,08/24/26 12:26 AM EDT,$0.46,2
20260824,MLS-TGLS-FG-00CFAO9IKT7BGN0-GTE-P00035,08/24/26 12:27 AM EDT,$0.46,10
20260824,MLB-TRUNS-I1-00UCIRJRF48MK88-GTE-P00035,08/24/26 12:27 AM EDT,$0.10,5
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-MUMI000-GTE-P00015,08/24/26 12:32 AM EDT,$0.54,80
20260824,LIGAMX-TGLS-FG-0006BR2II5BRSRO-GTE-P00025,08/24/26 12:34 AM EDT,$0.55,26
20260824,NPB-WIN-FG-03VT6SBD4OII6U0-HORS000,08/24/26 12:36 AM EDT,$0.38,3
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-COBY000-GTE-P00005,08/24/26 12:36 AM EDT,$0.62,26
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-KYER003-GTE-P00005,08/24/26 12:38 AM EDT,$0.68,7
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-KYER003-GTE-P00025,08/24/26 12:39 AM EDT,$0.37,25
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 12:42 AM EDT,$0.41,40
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-YAAZ000-GTE-P00015,08/24/26 12:44 AM EDT,$0.60,8
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-KONS000-GTE-P00015,08/24/26 12:47 AM EDT,$0.56,43
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00025,08/24/26 12:55 AM EDT,$0.08,53
20260824,MLB-TRUNS-I1-00UCIRHVF48MKSG-GTE-P00005,08/24/26 12:59 AM EDT,$0.49,9
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 01:01 AM EDT,$0.39,238
20260824,MLB-TRUNS-I1-00UCIRLJF48MKJ8-GTE-P00005,08/24/26 01:01 AM EDT,$0.43,254
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 01:02 AM EDT,$0.41,245
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-YAAZ000-GTE-P00015,08/24/26 01:05 AM EDT,$0.60,82
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-JURO000-GTE-P00015,08/24/26 01:05 AM EDT,$0.58,43
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-CHON002-GTE-P00015,08/24/26 01:06 AM EDT,$0.57,44
20260824,MLB-TRUNS-I1-00UCIRJ2F48MLC0-GTE-P00005,08/24/26 01:12 AM EDT,$0.48,9
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 01:13 AM EDT,$0.39,15
20260824,MLB-TRUNS-I1-00UCI6TQF48HUQO-GTE-P00005,08/24/26 01:13 AM EDT,$0.42,8
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 01:22 AM EDT,$0.42,33
20260824,LIGAMX-TGLS-FG-0145BJ2UL8S4858-GTE-P00005,08/24/26 01:29 AM EDT,$0.92,111
20260824,LIGAMX-TGLS-FG-0145BJ3UL8S492G-GTE-P00015,08/24/26 01:30 AM EDT,$0.80,68
20260824,LIGAMX-MOVY-FG-0145BJ5LL8S497G-ATDJ001-GTE-P00025,08/24/26 01:31 AM EDT,$0.09,100
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-BRAN089-GTE-P00005,08/24/26 01:31 AM EDT,$0.60,1
20260824,MLB-PHRR-FG-00UCIRLJF48MKJ8-BRWE000-GTE-P00035,08/24/26 01:32 AM EDT,$0.20,1
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-BRMO000-GTE-P00005,08/24/26 01:33 AM EDT,$0.72,1
20260824,MLB-PHRR-FG-00UCIRGDF48MKKO-ADAN000-GTE-P00025,08/24/26 01:41 AM EDT,$0.33,2
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 01:48 AM EDT,$0.42,8
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 01:49 AM EDT,$0.50,8
20260824,MLS-MOVY-FG-00CFA7JOKT7DDCO-PORS004-GTE-P00005,08/24/26 01:49 AM EDT,$0.62,20
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 02:03 AM EDT,$0.39,4
20260824,MLB-TRUNS-I1-00UCI6TQF48HUQO-GTE-P00005,08/24/26 02:03 AM EDT,$0.42,5
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 02:07 AM EDT,$0.41,32
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 02:07 AM EDT,$0.49,32
20260824,MLB-TRUNS-I1-00UCIRJRF48MK88-GTE-P00005,08/24/26 02:10 AM EDT,$0.43,8
20260824,MLB-TRUNS-I1-00UCIRJRF48MK88-GTE-P00005,08/24/26 02:11 AM EDT,$0.43,42
20260824,MLS-TGLS-FG-00CFAO9IKT7BGN0-GTE-P00025,08/24/26 02:24 AM EDT,$0.68,7
20260824,MLS-TGLS-FG-00CFA7ITKT7DD88-GTE-P00045,08/24/26 02:24 AM EDT,$0.21,6
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 02:31 AM EDT,$0.41,34
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-MIAS003-GTE-P00005,08/24/26 02:38 AM EDT,$0.75,1
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-KAER000-GTE-P00005,08/24/26 02:38 AM EDT,$0.74,1
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-LAER001-GTE-P00005,08/24/26 02:38 AM EDT,$0.74,1
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-KONS000-GTE-P00005,08/24/26 02:38 AM EDT,$0.76,1
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-COER000-GTE-P00005,08/24/26 02:38 AM EDT,$0.74,1
20260824,MLB-PHRR-FG-00UCIRGDF48MKKO-XADS000-GTE-P00005,08/24/26 02:38 AM EDT,$0.75,1
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-JAHY000-GTE-P00005,08/24/26 02:38 AM EDT,$0.74,1
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-CHON002-GTE-P00005,08/24/26 02:38 AM EDT,$0.80,1
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-LUEZ000-GTE-P00005,08/24/26 02:38 AM EDT,$0.75,1
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-CAES000-GTE-P00005,08/24/26 02:38 AM EDT,$0.74,1
20260824,MLB-PHRR-FG-00UCIRGDF48MKKO-ADAN000-GTE-P00035,08/24/26 02:49 AM EDT,$0.20,90
20260824,MLB-PHRR-FG-00UCIRGDF48MKKO-BRTO000-GTE-P00025,08/24/26 02:50 AM EDT,$0.18,105
20260824,MLB-PHRR-FG-00UCIRGDF48MKKO-CAIN000-GTE-P00035,08/24/26 02:50 AM EDT,$0.17,111
20260824,MLB-TRUNS-I1-00UCIRHVF48MKSG-GTE-P00005,08/24/26 03:16 AM EDT,$0.49,7
20260824,MLB-TRUNS-I1-00UCIRLJF48MKJ8-GTE-P00005,08/24/26 03:17 AM EDT,$0.43,8
20260824,MLB-TRUNS-I1-00UCIRL8F48MKHO-GTE-P00005,08/24/26 03:26 AM EDT,$0.53,2
20260824,MLB-TRUNS-I1-00UCI6TQF48HUQO-GTE-P00005,08/24/26 03:28 AM EDT,$0.42,8
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 03:28 AM EDT,$0.39,7
20260824,MLB-TRUNS-I1-00UCIRJ2F48MLC0-GTE-P00005,08/24/26 03:28 AM EDT,$0.56,8
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-COBY000-GTE-P00005,08/24/26 03:53 AM EDT,$0.62,7
20260824,MLB-PHRR-FG-00UCIRJRF48MK88-GURO000-GTE-P00005,08/24/26 03:53 AM EDT,$0.61,7
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-JURD000-GTE-P00005,08/24/26 03:53 AM EDT,$0.57,33
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-JAEZ000-GTE-P00035,08/24/26 04:13 AM EDT,$0.15,31
20260824,MLB-PHRR-FG-00UCIRGDF48MKKO-GRNE000-GTE-P00035,08/24/26 04:17 AM EDT,$0.17,11
20260824,MLB-TRUNS-I1-00UCIRJRF48MK88-GTE-P00005,08/24/26 04:19 AM EDT,$0.43,8
20260824,MLB-TRUNS-I1-00UCIRLJF48MKJ8-GTE-P00005,08/24/26 04:19 AM EDT,$0.42,8
20260824,MLB-PHRR-FG-00UCIRLJF48MKJ8-NIES001-GTE-P00015,08/24/26 04:19 AM EDT,$0.53,1
20260824,MLB-PHRR-FG-00UCIRJ2F48MLC0-COLL001-GTE-P00015,08/24/26 04:19 AM EDT,$0.58,1
20260824,MLB-PHRR-FG-00UCIRJRF48MK88-CHER002-GTE-P00015,08/24/26 04:19 AM EDT,$0.59,1
20260824,MLB-PHRR-FG-00UCIRJRF48MK88-ZATO000-GTE-P00015,08/24/26 04:19 AM EDT,$0.53,1
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-YAAZ000-GTE-P00015,08/24/26 04:19 AM EDT,$0.61,1
20260824,MLB-PHRR-FG-00UCIRJ2F48MLC0-MICH001-GTE-P00015,08/24/26 04:19 AM EDT,$0.58,1
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-LUEZ000-GTE-P00015,08/24/26 04:19 AM EDT,$0.51,1
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-BRER000-GTE-P00015,08/24/26 04:19 AM EDT,$0.46,1
20260824,MLB-PHRR-FG-00UCIRJRF48MK88-JOLL001-GTE-P00015,08/24/26 04:19 AM EDT,$0.54,1
20260824,MLB-PHRR-FG-00UCIRJRF48MK88-JOEZ004-GTE-P00015,08/24/26 04:19 AM EDT,$0.57,1
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-ROIS000-GTE-P00015,08/24/26 04:19 AM EDT,$0.63,1
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-RANA000-GTE-P00015,08/24/26 04:19 AM EDT,$0.44,1
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-KYER003-GTE-P00015,08/24/26 04:19 AM EDT,$0.49,1
20260824,MLB-PHRR-FG-00UCIRLJF48MKJ8-RAES000-GTE-P00015,08/24/26 04:19 AM EDT,$0.38,1
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-RYDE000-GTE-P00015,08/24/26 04:19 AM EDT,$0.50,1
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-YAAZ000-GTE-P00015,08/24/26 04:20 AM EDT,$0.61,2
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-RYDE000-GTE-P00015,08/24/26 04:20 AM EDT,$0.50,2
20260824,MLB-PHRR-FG-00UCIRKKF48ML9O-JAEZ000-GTE-P00005,08/24/26 04:31 AM EDT,$0.62,7
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 04:31 AM EDT,$0.43,8
20260824,MLB-TRUNS-IT5-00UCIRKKF48ML9O-GTE-P00065,08/24/26 05:25 AM EDT,$0.22,625
20260824,MLB-WIN-IT5-00UCIRGDF48MKKO-MINS001,08/24/26 05:28 AM EDT,$0.46,10
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 05:49 AM EDT,$0.41,1
20260824,MLB-PHRR-FG-00UCI6U0F48HVQ8-JUEZ003-GTE-P00015,08/24/26 05:50 AM EDT,$0.44,217
20260824,LPA-TGLS-FG-01O38D6UVVTINP0-GTE-P00025,08/24/26 06:01 AM EDT,$0.35,5
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 06:05 AM EDT,$0.43,50
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 06:05 AM EDT,$0.41,24
20260824,MLB-WIN-IT5-00UCIRKKF48ML9O-TBYS000,08/24/26 06:15 AM EDT,$0.57,13
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 06:19 AM EDT,$0.49,3
20260824,MLB-TRUNS-IT5-00UCIRGDF48MKKO-GTE-P00035,08/24/26 06:25 AM EDT,$0.56,21
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-ANDI000-GTE-P00015,08/24/26 06:26 AM EDT,$0.48,10
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-BRRY000-GTE-P00015,08/24/26 06:26 AM EDT,$0.50,9
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-CHTH001-GTE-P00015,08/24/26 06:26 AM EDT,$0.47,10
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-CORY000-GTE-P00015,08/24/26 06:27 AM EDT,$0.47,10
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-MUMI000-GTE-P00025,08/24/26 06:27 AM EDT,$0.40,11
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-SACI000-GTE-P00015,08/24/26 06:27 AM EDT,$0.52,9
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-TRRS001-GTE-P00015,08/24/26 06:27 AM EDT,$0.42,11
20260824,MLB-PHRR-FG-00UCIRHVF48MKSG-DRMO000-GTE-P00015,08/24/26 06:27 AM EDT,$0.35,13
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-ABIZ000-GTE-P00025,08/24/26 06:28 AM EDT,$0.37,12
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-ANRO001-GTE-P00025,08/24/26 06:28 AM EDT,$0.33,14
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-DALE000-GTE-P00025,08/24/26 06:28 AM EDT,$0.45,10
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-DYWS000-GTE-P00025,08/24/26 06:28 AM EDT,$0.39,12
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-JANG002-GTE-P00015,08/24/26 06:28 AM EDT,$0.50,9
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-JOAS005-GTE-P00015,08/24/26 06:28 AM EDT,$0.47,10
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-JONA001-GTE-P00025,08/24/26 06:30 AM EDT,$0.34,13
20260824,MLB-PHRR-FG-00UCIRLPF48MLOO-NAEZ001-GTE-P00015,08/24/26 06:30 AM EDT,$0.48,10
20260824,MLB-TRUNS-I1-00UCIRL8F48MKHO-GTE-P00005,08/24/26 06:30 AM EDT,$0.53,206
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-ROIS000-GTE-P00025,08/24/26 06:30 AM EDT,$0.48,10
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-JOLL002-GTE-P00025,08/24/26 06:31 AM EDT,$0.44,10
20260824,MLB-WIN-IT5-00UCIRKKF48ML9O-TBYS000,08/24/26 06:31 AM EDT,$0.57,8
20260824,MLB-PHRR-FG-00UCIRL8F48MKHO-RYRS001-GTE-P00025,08/24/26 06:31 AM EDT,$0.48,10
20260824,MLB-WIN-IT5-00UCI6TQF48HUQO-CIDS000,08/24/26 06:31 AM EDT,$0.62,1
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 06:34 AM EDT,$0.47,2
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 06:37 AM EDT,$0.41,32
20260824,MLB-TRUNS-I1-00UCI6U0F48HVQ8-GTE-P00005,08/24/26 06:38 AM EDT,$0.39,31
20260824,MLB-TRUNS-I1-00UCIRLJF48MKJ8-GTE-P00005,08/24/26 06:38 AM EDT,$0.42,33
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00005,08/24/26 06:40 AM EDT,$0.41,16
20260824,MLB-TRUNS-I2-00UCIRKKF48ML9O-GTE-P00005,08/24/26 06:44 AM EDT,$0.48,3
20260824,MLB-TRUNS-I1-00UCIRKKF48ML9O-GTE-P00005,08/24/26 07:01 AM EDT,$0.51,7
20260824,MLB-TRUNS-I1-00UCIRGDF48MKKO-GTE-P00015,08/24/26 07:15 AM EDT,$0.29,32
