Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260729,KBO-WIN-FG-02HIFC5LOKIF4C0-LOTS001,07/29/26 12:00 AM EDT,$0.48,20
20260729,KBO-TRUNS-FG-02HIFC25OKIF498-GTE-P00095,07/29/26 12:01 AM EDT,$0.58,16
20260729,MLB-TRUNS-I7-00NAK87HPI27FGG-GTE-P00005,07/29/26 12:01 AM EDT,$0.34,27
20260729,KBO-TRUNS-FG-02HIFC25OKIF498-GTE-P00095,07/29/26 12:03 AM EDT,$0.57,8
20260729,MLB-TRUNS-I7-00NAK87HPI27FGG-GTE-P00005,07/29/26 12:03 AM EDT,$0.30,13
20260729,KBO-WIN-FG-02HIFC25OKIF498-KTON000,07/29/26 12:03 AM EDT,$0.53,18
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-JALL000-GTE-P00015,07/29/26 12:03 AM EDT,$0.27,50
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-FRAN000-GTE-P00015,07/29/26 12:04 AM EDT,$0.31,49
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-MAAD000-GTE-P00035,07/29/26 12:04 AM EDT,$0.26,21
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-TOAN002-GTE-P00045,07/29/26 12:04 AM EDT,$0.39,4
20260729,KBO-TRUNS-FG-02HIFC25OKIF498-GTE-P00105,07/29/26 12:05 AM EDT,$0.51,37
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-DANG001-GTE-P00035,07/29/26 12:05 AM EDT,$0.28,6
20260729,KBO-MOVY-FG-02HIFC68OKIF5K8-SANS000-GTE-P00015,07/29/26 12:05 AM EDT,$0.44,108
20260729,KBO-TRUNS-FG-02HIFKVOOKIF2Q8-GTE-P00095,07/29/26 12:05 AM EDT,$0.48,18
20260729,KBO-TRUNS-FG-02HIFC68OKIF5K8-GTE-P00125,07/29/26 12:05 AM EDT,$0.52,37
20260729,KBO-MOVY-FG-02HIFKU8OKIF38O-DORS000-GTE-P00015,07/29/26 12:06 AM EDT,$0.47,40
20260729,KBO-TRUNS-FG-02HIFKU8OKIF38O-GTE-P00115,07/29/26 12:06 AM EDT,$0.45,17
20260729,MLB-TRUNS-I8-00NAK87HPI27FGG-GTE-P00005,07/29/26 12:06 AM EDT,$0.46,44
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-MADO001-GTE-P00035,07/29/26 12:07 AM EDT,$0.79,123
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-JUEZ003-GTE-P00035,07/29/26 12:07 AM EDT,$0.38,3
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-DONE000-GTE-P00035,07/29/26 12:07 AM EDT,$0.32,4
20260729,KBO-TRUNS-FG-02HIFC25OKIF498-GTE-P00105,07/29/26 12:07 AM EDT,$0.51,18
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-MADO001-GTE-P00035,07/29/26 12:08 AM EDT,$0.79,123
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-JALL000-GTE-P00025,07/29/26 12:08 AM EDT,$0.53,181
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-MADO001-GTE-P00035,07/29/26 12:08 AM EDT,$0.79,104
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-MAAD000-GTE-P00035,07/29/26 12:08 AM EDT,$0.17,21
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-JALL000-GTE-P00025,07/29/26 12:08 AM EDT,$0.53,169
20260729,MLB-TRUNS-I8-00NAK7JHPI2A4NG-GTE-P00015,07/29/26 12:11 AM EDT,$0.24,1
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-JATH000-GTE-P00005,07/29/26 12:12 AM EDT,$0.38,9
20260729,MLB-PHRR-FG-00NAK7JHPI2A4NG-FEJR000-GTE-P00075,07/29/26 12:13 AM EDT,$0.42,5
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-JUEZ003-GTE-P00045,07/29/26 12:13 AM EDT,$0.41,50
20260729,MLB-PHRR-FG-00NAK87HPI27FGG-JUEZ003-GTE-P00065,07/29/26 12:13 AM EDT,$0.10,45
