Business Date,Symbol,Status,Open Interest,Trade Volume,High Price (USD),Low Price (USD),Settlement/Last Trade Price (USD),Maturity Date and Time (ET)
20260815,FRIENDLYCLUB-BTMSC-FG-000696JFI4R93RO-BINARY,Open,23,25,$0.66,$0.58,$0.60,09/15/26 10:30 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-000696LVI4R92C0-BINARY,Open,10,10,$0.54,$0.54,$0.54,09/15/26 11:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-000696NQI4R93G8-BINARY,Open,0,0,,,,09/15/26 11:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00069L8DI4RE798-BINARY,Open,0,0,,,,09/15/26 09:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00C4PCO1KV75VC8-BINARY,Settled,0,564,$0.72,$0.44,$1.00,09/14/26 09:30 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00C4PCQSKV75V9G-BINARY,Settled,0,732,$0.54,$0.14,$1.00,09/14/26 10:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00C4PI10KV77D50-BINARY,Settled,0,500,$0.68,$0.62,$1.00,09/14/26 10:45 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00C4PI29KV77D20-BINARY,Settled,0,85,$0.73,$0.69,$1.00,09/14/26 10:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00C4PI2AKV77CSG-BINARY,Settled,0,0,,,$1.00,09/14/26 10:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00C4PI4PKV77DO8-BINARY,Settled,0,2008,$0.98,$0.60,$1.00,09/14/26 09:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00C4PI5OKV77D10-BINARY,Settled,0,3604,$0.67,$0.03,$0.00,09/14/26 11:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB70ITPGDIL18-BINARY,Settled,0,181,$0.32,$0.17,$0.00,09/14/26 02:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB70KHPGDILT0-BINARY,Settled,0,0,,,$0.00,09/14/26 01:30 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KO3PGDLAB8-BINARY,Settled,0,172,$0.55,$0.43,$0.00,09/14/26 01:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KP1PGDLA8G-BINARY,Settled,0,854,$0.99,$0.21,$1.00,09/14/26 03:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KSHPGDLAG0-BINARY,Settled,0,658,$0.60,$0.34,$0.00,09/14/26 01:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KTQPGDLBTG-BINARY,Settled,0,62,$0.97,$0.61,$1.00,09/14/26 02:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KU9PGDLAQG-BINARY,Settled,0,147,$0.67,$0.40,$0.00,09/14/26 01:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KV2PGDLA9O-BINARY,Settled,0,201,$0.56,$0.19,$0.00,09/14/26 01:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KVIPGDLB30-BINARY,Settled,0,89,$0.49,$0.38,$0.00,09/14/26 02:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NB7KVQPGDLAE0-BINARY,Settled,0,112,$0.65,$0.42,$1.00,09/14/26 01:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NBTSP5PJ65A70-BINARY,Settled,0,0,,,$1.00,09/14/26 08:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NFD88GPJJP3QG-BINARY,Settled,0,220,$0.88,$0.68,$1.00,09/14/26 11:30 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NFD8BQPJJP3F8-BINARY,Open,0,0,,,,09/15/26 01:00 PM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-00NFD8ELPJJP3LO-BINARY,Settled,0,1773,$0.69,$0.28,$0.00,09/14/26 10:00 AM EDT
20260815,FRIENDLYCLUB-BTMSC-FG-014F21GCL88QMDG-BINARY,Settled,0,15,$0.62,$0.62,$1.00,09/14/26 09:00 AM EDT
