Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260717,NPB-TRUNS-FG-00C5BGINKUS75UG-GTE-P00065,07/17/26 12:03 AM EDT,$0.47,90
20260717,NPB-WIN-FG-00C5BGN1KUS74CG-TOWS000,07/17/26 12:05 AM EDT,$0.48,160
20260717,KBO-WIN-FG-00C5A7P5KUS90E0-LGNS000,07/17/26 12:08 AM EDT,$0.62,4
20260717,KBO-WIN-FG-00C5A7OQKUS9038-HAES000,07/17/26 12:09 AM EDT,$0.68,1
20260717,KBO-MOVY-FG-00C5A7SVKUS91N0-SANS000-GTE-P00015,07/17/26 12:09 AM EDT,$0.53,90
20260717,KBO-WIN-FG-00C5A7UBKUS915G-KIRS000,07/17/26 12:09 AM EDT,$0.57,847
20260717,KBO-WIN-FG-00C5A7UBKUS915G-KIRS000,07/17/26 12:09 AM EDT,$0.57,2
20260717,KBO-WIN-FG-00C5A7OQKUS9038-HAES000,07/17/26 12:11 AM EDT,$0.68,37
20260717,NPB-TRUNS-FG-00C5BGJRKUS75QO-GTE-P00055,07/17/26 12:11 AM EDT,$0.53,54
20260717,NPB-TRUNS-FG-00C5BGJRKUS75QO-GTE-P00055,07/17/26 12:12 AM EDT,$0.53,10
20260717,NPB-MOVY-FG-00C5BGINKUS75UG-HARS001-GTE-P00015,07/17/26 12:13 AM EDT,$0.50,23
20260717,NPB-TRUNS-FG-00C5BGINKUS75UG-GTE-P00065,07/17/26 12:13 AM EDT,$0.47,18
20260717,NPB-TRUNS-FG-00C5BGINKUS75UG-GTE-P00075,07/17/26 12:13 AM EDT,$0.39,21
20260717,KBO-WIN-FG-00C5A7UBKUS915G-KIRS000,07/17/26 12:13 AM EDT,$0.57,16
20260717,NPB-WIN-FG-00C5BGINKUS75UG-HIRP000,07/17/26 12:15 AM EDT,$0.37,25
20260717,NPB-MOVY-FG-00C5BGINKUS75UG-HARS001-GTE-P00015,07/17/26 12:15 AM EDT,$0.49,29
20260717,NPB-WIN-FG-00C5BGN1KUS74CG-YORS001,07/17/26 12:16 AM EDT,$0.55,18
20260717,NPB-WIN-FG-00C5BGJRKUS75QO-YOTS000,07/17/26 12:17 AM EDT,$0.55,137
20260717,NPB-TRUNS-FG-00C5BGJRKUS75QO-GTE-P00055,07/17/26 12:17 AM EDT,$0.53,120
20260717,NPB-WIN-FG-00C5BGJRKUS75QO-YOTS000,07/17/26 12:17 AM EDT,$0.55,44
20260717,NPB-WIN-FG-00C5BGJRKUS75QO-YOTS000,07/17/26 12:17 AM EDT,$0.55,263
20260717,NPB-TRUNS-FG-00C5BGINKUS75UG-GTE-P00065,07/17/26 12:18 AM EDT,$0.47,18
20260717,NPB-MOVY-FG-00C5BGINKUS75UG-HARS001-GTE-P00015,07/17/26 12:18 AM EDT,$0.50,5
20260717,NPB-TRUNS-FG-00C5BGJRKUS75QO-GTE-P00055,07/17/26 12:18 AM EDT,$0.53,30
20260717,KBO-WIN-FG-00C5A7QAKUS90KO-DORS000,07/17/26 12:19 AM EDT,$0.51,5
20260717,NPB-WIN-FG-00C5BGJRKUS75QO-YOTS000,07/17/26 12:20 AM EDT,$0.55,14
20260717,NPB-WIN-FG-00C5BGINKUS75UG-HARS001,07/17/26 12:20 AM EDT,$0.66,7
20260717,NPB-TRUNS-FG-00C5BGJRKUS75QO-GTE-P00055,07/17/26 12:20 AM EDT,$0.50,2
20260717,NPB-TRUNS-FG-00C5BGJRKUS75QO-GTE-P00055,07/17/26 12:20 AM EDT,$0.50,844
