Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260730,KBO-TRUNS-FG-00N6IK6LPGPBURG-GTE-P00095,07/30/26 12:00 AM EDT,$0.56,12
20260730,KBO-TRUNS-FG-00N6IK6LPGPBURG-GTE-P00095,07/30/26 12:00 AM EDT,$0.56,34
20260730,KBO-TRUNS-FG-00N6IK4TPGPBUUG-GTE-P00145,07/30/26 12:00 AM EDT,$0.27,24
20260730,MLB-TRUNS-I8-01DRH5CMTNRRJNO-GTE-P00005,07/30/26 12:00 AM EDT,$0.43,3
20260730,MLB-TRUNS-I7-01DRH5CMTNRRJNO-GTE-P00005,07/30/26 12:00 AM EDT,$0.51,6
20260730,MLB-TRUNS-I7-01DRH5CMTNRRJNO-GTE-P00005,07/30/26 12:02 AM EDT,$0.46,14
20260730,MLB-TRUNS-I8-01DRH5ANTNRRIEO-GTE-P00015,07/30/26 12:03 AM EDT,$0.08,277
20260730,MLB-TRUNS-IT5-01DRH5ANTNRRIEO-GTE-P00065,07/30/26 12:03 AM EDT,$0.03,2
20260730,MLB-MOVY-IT5-01DRH5ANTNRRIEO-LALS000-GTE-P00015,07/30/26 12:03 AM EDT,$0.03,28
20260730,MLB-PHRR-FG-01DRH5CMTNRRJNO-FRAN000-GTE-P00035,07/30/26 12:04 AM EDT,$0.41,58
20260730,MLB-TRUNS-I9-01DRH5ANTNRRIEO-GTE-P00005,07/30/26 12:05 AM EDT,$0.51,47
20260730,NWSL-DWIN-FG-000A28ULI788EFO-DRAW,07/30/26 12:05 AM EDT,$0.09,909
20260730,MLB-TRUNS-I1-03VQO64O4OOAPQG-GTE-P00045,07/30/26 12:05 AM EDT,$0.09,50
20260730,MLB-TRUNS-I1-03VQO66O4OOAO5O-GTE-P00035,07/30/26 12:05 AM EDT,$0.10,45
20260730,KBO-TRUNS-FG-00N6IK6LPGPBURG-GTE-P00095,07/30/26 12:06 AM EDT,$0.56,10
20260730,MLB-TRUNS-I1-03VQO66O4OOAO5O-GTE-P00005,07/30/26 12:07 AM EDT,$0.44,17
20260730,NWSL-DWIN-FG-000A28PPI788FO8-DRAW,07/30/26 12:07 AM EDT,$0.16,17
20260730,MLB-TRUNS-I8-01DRH5CMTNRRJNO-GTE-P00005,07/30/26 12:07 AM EDT,$0.49,3
20260730,MLB-TRUNS-I8-01DRH58PTNRRJ90-GTE-P00005,07/30/26 12:07 AM EDT,$0.41,245
20260730,MLB-TRUNS-I9-01DRH5ANTNRRIEO-GTE-P00005,07/30/26 12:07 AM EDT,$0.52,46
20260730,MLB-TRUNS-I1-03VQO64O4OOAPQG-GTE-P00005,07/30/26 12:07 AM EDT,$0.59,8
20260730,MLB-TRUNS-I8-01DRH58PTNRRJ90-GTE-P00005,07/30/26 12:08 AM EDT,$0.40,8
20260730,NWSL-DWIN-FG-000A28PPI788FO8-DRAW,07/30/26 12:08 AM EDT,$0.17,350
20260730,NWSL-DWIN-FG-000A28PPI788FO8-DRAW,07/30/26 12:08 AM EDT,$0.17,102
20260730,NWSL-DWIN-FG-000A28PPI788FO8-DRAW,07/30/26 12:09 AM EDT,$0.16,350
20260730,MLB-TRUNS-I1-03VQO6384OOAO8O-GTE-P00005,07/30/26 12:09 AM EDT,$0.55,18
